id,prod,age,Sum Assured,Term,Term_if,Premium,sex,spc,prem_esc,sa_esc,esc_m,units_1,units_99,alloc_1,alloc_99,proj_max
1,1,56,1312000,0,0,0,1,10,0,0,4,0,0,0,0,0
2,1,35,1425000,0,0,0,1,10,0,0,3,0,0,0,0,0
3,1,21,700000,0,0,0,0,10,0,0,2,0,0,0,0,0
4,1,35,1582000,0,0,0,0,10,0,0,5,0,0,0,0,0
5,1,48,1004000,0,0,0,0,10,0,0,1,0,0,0,0,0
6,1,46,742000,0,0,0,0,10,0,0,9,0,0,0,0,0
7,1,24,1057000,0,0,0,1,10,0,0,4,0,0,0,0,0
8,1,48,686000,0,0,0,0,10,0,0,6,0,0,0,0,0
9,1,30,913000,0,0,0,0,10,0,0,7,0,0,0,0,0
10,1,50,698000,0,0,0,1,10,0,0,3,0,0,0,0,0
11,1,52,899000,0,0,0,0,10,0,0,3,0,0,0,0,0
12,1,45,995000,0,0,0,0,10,0,0,10,0,0,0,0,0
13,1,28,1337000,0,0,0,0,10,0,0,6,0,0,0,0,0
14,1,21,653000,0,0,0,1,10,0,0,4,0,0,0,0,0
15,1,44,1020000,0,0,0,0,10,0,0,6,0,0,0,0,0
16,1,41,773000,0,0,0,0,10,0,0,9,0,0,0,0,0
17,1,21,1619000,0,0,0,1,10,0,0,1,0,0,0,0,0
18,1,56,401000,0,0,0,0,10,0,0,5,0,0,0,0,0
19,1,38,978000,0,0,0,1,10,0,0,2,0,0,0,0,0
20,1,54,757000,0,0,0,1,10,0,0,2,0,0,0,0,0
21,1,41,778000,0,0,0,1,10,0,0,8,0,0,0,0,0
22,1,49,1053000,0,0,0,0,10,0,0,7,0,0,0,0,0
23,1,31,1609000,0,0,0,0,10,0,0,8,0,0,0,0,0
24,1,33,689000,0,0,0,0,10,0,0,10,0,0,0,0,0
25,1,54,1467000,0,0,0,0,10,0,0,6,0,0,0,0,0
26,1,54,937000,0,0,0,0,10,0,0,11,0,0,0,0,0
27,1,31,1239000,0,0,0,1,10,0,0,3,0,0,0,0,0
28,1,31,1278000,0,0,0,1,10,0,0,12,0,0,0,0,0
29,1,50,755000,0,0,0,1,10,0,0,1,0,0,0,0,0
30,1,38,813000,0,0,0,0,10,0,0,11,0,0,0,0,0
31,1,21,1005000,0,0,0,0,10,0,0,10,0,0,0,0,0
32,1,23,1289000,0,0,0,1,10,0,0,3,0,0,0,0,0
33,1,37,1021000,0,0,0,1,10,0,0,1,0,0,0,0,0
34,1,44,1177000,0,0,0,1,10,0,0,8,0,0,0,0,0
35,1,53,672000,0,0,0,1,10,0,0,2,0,0,0,0,0
36,1,45,1387000,0,0,0,0,10,0,0,1,0,0,0,0,0
37,1,41,893000,0,0,0,1,10,0,0,11,0,0,0,0,0
38,1,34,475000,0,0,0,1,10,0,0,1,0,0,0,0,0
39,1,36,604000,0,0,0,0,10,0,0,11,0,0,0,0,0
40,1,39,1080000,0,0,0,0,10,0,0,1,0,0,0,0,0
41,1,37,748000,0,0,0,1,10,0,0,12,0,0,0,0,0
42,1,60,808000,0,0,0,0,10,0,0,5,0,0,0,0,0
43,1,60,1414000,0,0,0,0,10,0,0,10,0,0,0,0,0
44,1,29,765000,0,0,0,1,10,0,0,7,0,0,0,0,0
45,1,42,947000,0,0,0,0,10,0,0,10,0,0,0,0,0
46,1,46,1009000,0,0,0,0,10,0,0,1,0,0,0,0,0
47,1,38,478000,0,0,0,1,10,0,0,11,0,0,0,0,0
48,1,46,1148000,0,0,0,1,10,0,0,1,0,0,0,0,0
49,1,60,842000,0,0,0,1,10,0,0,6,0,0,0,0,0
50,1,25,742000,0,0,0,1,10,0,0,2,0,0,0,0,0
51,1,29,670000,0,0,0,1,10,0,0,5,0,0,0,0,0
52,1,60,845000,0,0,0,1,10,0,0,8,0,0,0,0,0
53,1,21,772000,0,0,0,0,10,0,0,4,0,0,0,0,0
54,1,60,1443000,0,0,0,0,10,0,0,3,0,0,0,0,0
55,1,28,1203000,0,0,0,0,10,0,0,10,0,0,0,0,0
56,1,48,760000,0,0,0,0,10,0,0,10,0,0,0,0,0
57,1,47,1073000,0,0,0,0,10,0,0,1,0,0,0,0,0
58,1,48,819000,0,0,0,1,10,0,0,1,0,0,0,0,0
59,1,38,702000,0,0,0,0,10,0,0,6,0,0,0,0,0
60,1,45,1237000,0,0,0,1,10,0,0,9,0,0,0,0,0
61,1,44,878000,0,0,0,0,10,0,0,5,0,0,0,0,0
62,1,27,924000,0,0,0,1,10,0,0,3,0,0,0,0,0
63,1,45,501000,0,0,0,1,10,0,0,4,0,0,0,0,0
64,1,21,824000,0,0,0,0,10,0,0,10,0,0,0,0,0
65,1,50,1366000,0,0,0,1,10,0,0,11,0,0,0,0,0
66,1,22,1565000,0,0,0,1,10,0,0,10,0,0,0,0,0
67,1,27,664000,0,0,0,0,10,0,0,12,0,0,0,0,0
68,1,36,705000,0,0,0,1,10,0,0,6,0,0,0,0,0
69,1,49,763000,0,0,0,0,10,0,0,12,0,0,0,0,0
70,1,37,850000,0,0,0,0,10,0,0,1,0,0,0,0,0
71,1,50,1396000,0,0,0,0,10,0,0,1,0,0,0,0,0
72,1,25,1131000,0,0,0,1,10,0,0,2,0,0,0,0,0
73,1,23,1138000,0,0,0,0,10,0,0,4,0,0,0,0,0
74,1,51,1152000,0,0,0,0,10,0,0,9,0,0,0,0,0
75,1,37,1056000,0,0,0,1,10,0,0,6,0,0,0,0,0
76,1,25,972000,0,0,0,0,10,0,0,6,0,0,0,0,0
77,1,30,759000,0,0,0,1,10,0,0,3,0,0,0,0,0
78,1,46,1111000,0,0,0,0,10,0,0,6,0,0,0,0,0
79,1,52,1015000,0,0,0,1,10,0,0,11,0,0,0,0,0
80,1,24,1015000,0,0,0,1,10,0,0,2,0,0,0,0,0
81,1,21,652000,0,0,0,1,10,0,0,9,0,0,0,0,0
82,1,34,1483000,0,0,0,1,10,0,0,11,0,0,0,0,0
83,1,31,1014000,0,0,0,0,10,0,0,1,0,0,0,0,0
84,1,31,459000,0,0,0,1,10,0,0,9,0,0,0,0,0
85,1,30,700000,0,0,0,1,10,0,0,8,0,0,0,0,0
86,1,21,782000,0,0,0,1,10,0,0,8,0,0,0,0,0
87,1,44,1216000,0,0,0,1,10,0,0,7,0,0,0,0,0
88,1,42,641000,0,0,0,0,10,0,0,6,0,0,0,0,0
89,1,53,998000,0,0,0,0,10,0,0,10,0,0,0,0,0
90,1,51,753000,0,0,0,0,10,0,0,7,0,0,0,0,0
91,1,46,479000,0,0,0,1,10,0,0,2,0,0,0,0,0
92,1,48,771000,0,0,0,0,10,0,0,10,0,0,0,0,0
93,1,44,1304000,0,0,0,0,10,0,0,7,0,0,0,0,0
94,1,32,920000,0,0,0,0,10,0,0,9,0,0,0,0,0
95,1,33,735000,0,0,0,1,10,0,0,9,0,0,0,0,0
96,1,39,789000,0,0,0,0,10,0,0,10,0,0,0,0,0
97,1,45,1489000,0,0,0,0,10,0,0,6,0,0,0,0,0
98,1,37,1103000,0,0,0,1,10,0,0,3,0,0,0,0,0
99,1,29,1527000,0,0,0,0,10,0,0,9,0,0,0,0,0
100,1,30,662000,0,0,0,0,10,0,0,12,0,0,0,0,0
101,1,38,828000,0,0,0,1,10,0,0,8,0,0,0,0,0
102,1,26,700000,0,0,0,0,10,0,0,9,0,0,0,0,0
103,1,21,683000,0,0,0,1,10,0,0,10,0,0,0,0,0
104,1,27,1086000,0,0,0,1,10,0,0,5,0,0,0,0,0
105,1,46,1186000,0,0,0,1,10,0,0,9,0,0,0,0,0
106,1,60,1193000,0,0,0,0,10,0,0,8,0,0,0,0,0
107,1,35,904000,0,0,0,0,10,0,0,10,0,0,0,0,0
108,1,39,908000,0,0,0,0,10,0,0,11,0,0,0,0,0
109,1,40,994000,0,0,0,1,10,0,0,3,0,0,0,0,0
110,1,27,996000,0,0,0,1,10,0,0,7,0,0,0,0,0
111,1,33,623000,0,0,0,1,10,0,0,2,0,0,0,0,0
112,1,25,1250000,0,0,0,1,10,0,0,10,0,0,0,0,0
113,1,42,596000,0,0,0,0,10,0,0,1,0,0,0,0,0
114,1,21,1205000,0,0,0,0,10,0,0,9,0,0,0,0,0
115,1,25,1316000,0,0,0,1,10,0,0,12,0,0,0,0,0
116,1,32,1497000,0,0,0,0,10,0,0,9,0,0,0,0,0
117,1,28,683000,0,0,0,1,10,0,0,1,0,0,0,0,0
118,1,34,1175000,0,0,0,0,10,0,0,12,0,0,0,0,0
119,1,31,1011000,0,0,0,1,10,0,0,5,0,0,0,0,0
120,1,28,644000,0,0,0,0,10,0,0,8,0,0,0,0,0
121,1,33,1136000,0,0,0,0,10,0,0,3,0,0,0,0,0
122,1,35,984000,0,0,0,0,10,0,0,7,0,0,0,0,0
123,1,41,669000,0,0,0,1,10,0,0,2,0,0,0,0,0
124,1,51,1169000,0,0,0,1,10,0,0,8,0,0,0,0,0
125,1,46,1103000,0,0,0,1,10,0,0,1,0,0,0,0,0
126,1,55,904000,0,0,0,1,10,0,0,7,0,0,0,0,0
127,1,21,850000,0,0,0,1,10,0,0,1,0,0,0,0,0
128,1,53,1208000,0,0,0,1,10,0,0,6,0,0,0,0,0
129,1,27,1035000,0,0,0,1,10,0,0,11,0,0,0,0,0
130,1,54,1234000,0,0,0,1,10,0,0,3,0,0,0,0,0
131,1,60,1239000,0,0,0,0,10,0,0,12,0,0,0,0,0
132,1,37,932000,0,0,0,1,10,0,0,5,0,0,0,0,0
133,1,37,728000,0,0,0,1,10,0,0,12,0,0,0,0,0
134,1,21,1102000,0,0,0,0,10,0,0,12,0,0,0,0,0
135,1,33,868000,0,0,0,1,10,0,0,7,0,0,0,0,0
136,1,33,657000,0,0,0,0,10,0,0,8,0,0,0,0,0
137,1,21,1378000,0,0,0,0,10,0,0,4,0,0,0,0,0
138,1,60,960000,0,0,0,0,10,0,0,6,0,0,0,0,0
139,1,48,541000,0,0,0,1,10,0,0,6,0,0,0,0,0
140,1,46,1011000,0,0,0,1,10,0,0,11,0,0,0,0,0
141,1,45,654000,0,0,0,0,10,0,0,1,0,0,0,0,0
142,1,52,876000,0,0,0,0,10,0,0,1,0,0,0,0,0
143,1,43,974000,0,0,0,1,10,0,0,10,0,0,0,0,0
144,1,34,834000,0,0,0,0,10,0,0,10,0,0,0,0,0
145,1,55,1096000,0,0,0,0,10,0,0,12,0,0,0,0,0
146,1,45,959000,0,0,0,1,10,0,0,11,0,0,0,0,0
147,1,21,594000,0,0,0,1,10,0,0,6,0,0,0,0,0
148,1,60,1536000,0,0,0,0,10,0,0,10,0,0,0,0,0
149,1,38,1166000,0,0,0,1,10,0,0,3,0,0,0,0,0
150,1,21,1413000,0,0,0,1,10,0,0,7,0,0,0,0,0
151,1,31,1002000,0,0,0,1,10,0,0,11,0,0,0,0,0
152,1,40,1219000,0,0,0,1,10,0,0,10,0,0,0,0,0
153,1,48,1285000,0,0,0,0,10,0,0,2,0,0,0,0,0
154,1,29,503000,0,0,0,1,10,0,0,4,0,0,0,0,0
155,1,54,766000,0,0,0,0,10,0,0,4,0,0,0,0,0
156,1,31,1141000,0,0,0,1,10,0,0,5,0,0,0,0,0
157,1,28,835000,0,0,0,0,10,0,0,9,0,0,0,0,0
158,1,53,1078000,0,0,0,0,10,0,0,10,0,0,0,0,0
159,1,39,413000,0,0,0,0,10,0,0,5,0,0,0,0,0
160,1,33,622000,0,0,0,1,10,0,0,2,0,0,0,0,0
161,1,60,899000,0,0,0,1,10,0,0,5,0,0,0,0,0
162,1,41,1001000,0,0,0,0,10,0,0,6,0,0,0,0,0
163,1,43,936000,0,0,0,1,10,0,0,5,0,0,0,0,0
164,1,31,897000,0,0,0,0,10,0,0,8,0,0,0,0,0
165,1,40,831000,0,0,0,1,10,0,0,1,0,0,0,0,0
166,1,28,881000,0,0,0,1,10,0,0,9,0,0,0,0,0
167,1,60,1025000,0,0,0,0,10,0,0,2,0,0,0,0,0
168,1,50,1278000,0,0,0,1,10,0,0,1,0,0,0,0,0
169,1,41,778000,0,0,0,0,10,0,0,2,0,0,0,0,0
170,1,21,857000,0,0,0,0,10,0,0,1,0,0,0,0,0
171,1,21,836000,0,0,0,0,10,0,0,4,0,0,0,0,0
172,1,30,954000,0,0,0,0,10,0,0,8,0,0,0,0,0
173,1,35,1263000,0,0,0,0,10,0,0,11,0,0,0,0,0
174,1,56,1095000,0,0,0,1,10,0,0,2,0,0,0,0,0
175,1,50,585000,0,0,0,0,10,0,0,11,0,0,0,0,0
176,1,32,809000,0,0,0,0,10,0,0,8,0,0,0,0,0
177,1,32,981000,0,0,0,0,10,0,0,10,0,0,0,0,0
178,1,38,1028000,0,0,0,0,10,0,0,5,0,0,0,0,0
179,1,48,1056000,0,0,0,0,10,0,0,9,0,0,0,0,0
180,1,26,1520000,0,0,0,0,10,0,0,12,0,0,0,0,0
181,1,53,468000,0,0,0,1,10,0,0,9,0,0,0,0,0
182,1,41,1068000,0,0,0,0,10,0,0,3,0,0,0,0,0
183,1,40,939000,0,0,0,1,10,0,0,4,0,0,0,0,0
184,1,21,984000,0,0,0,1,10,0,0,5,0,0,0,0,0
185,1,41,740000,0,0,0,1,10,0,0,4,0,0,0,0,0
186,1,28,851000,0,0,0,1,10,0,0,12,0,0,0,0,0
187,1,40,993000,0,0,0,0,10,0,0,8,0,0,0,0,0
188,1,33,710000,0,0,0,0,10,0,0,10,0,0,0,0,0
189,1,26,732000,0,0,0,1,10,0,0,7,0,0,0,0,0
190,1,34,1498000,0,0,0,1,10,0,0,1,0,0,0,0,0
191,1,21,1262000,0,0,0,1,10,0,0,7,0,0,0,0,0
192,1,44,770000,0,0,0,0,10,0,0,4,0,0,0,0,0
193,1,55,495000,0,0,0,0,10,0,0,12,0,0,0,0,0
194,1,39,1035000,0,0,0,0,10,0,0,12,0,0,0,0,0
195,1,21,679000,0,0,0,1,10,0,0,9,0,0,0,0,0
196,1,21,774000,0,0,0,0,10,0,0,7,0,0,0,0,0
197,1,49,1204000,0,0,0,0,10,0,0,4,0,0,0,0,0
198,1,23,701000,0,0,0,0,10,0,0,10,0,0,0,0,0
199,1,60,909000,0,0,0,1,10,0,0,6,0,0,0,0,0
200,1,58,581000,0,0,0,0,10,0,0,9,0,0,0,0,0
201,1,50,932000,0,0,0,0,10,0,0,1,0,0,0,0,0
202,1,37,1019000,0,0,0,1,10,0,0,11,0,0,0,0,0
203,1,39,1353000,0,0,0,0,10,0,0,1,0,0,0,0,0
204,1,28,890000,0,0,0,0,10,0,0,5,0,0,0,0,0
205,1,34,899000,0,0,0,0,10,0,0,10,0,0,0,0,0
206,1,26,748000,0,0,0,0,10,0,0,12,0,0,0,0,0
207,1,60,1031000,0,0,0,1,10,0,0,10,0,0,0,0,0
208,1,24,1079000,0,0,0,1,10,0,0,3,0,0,0,0,0
209,1,36,1343000,0,0,0,1,10,0,0,12,0,0,0,0,0
210,1,26,929000,0,0,0,1,10,0,0,2,0,0,0,0,0
211,1,21,1228000,0,0,0,1,10,0,0,5,0,0,0,0,0
212,1,49,375000,0,0,0,0,10,0,0,5,0,0,0,0,0
213,1,51,876000,0,0,0,0,10,0,0,2,0,0,0,0,0
214,1,50,580000,0,0,0,0,10,0,0,11,0,0,0,0,0
215,1,50,1125000,0,0,0,1,10,0,0,1,0,0,0,0,0
216,1,48,1208000,0,0,0,0,10,0,0,8,0,0,0,0,0
217,1,53,1382000,0,0,0,1,10,0,0,9,0,0,0,0,0
218,1,21,744000,0,0,0,0,10,0,0,12,0,0,0,0,0
